Activation Method,Unitherm Load,Port,Mode,Power Level,Activation Duration
Footswitch,300,Mono1,Pure,3,500
Footswitch,300,Mono1,Pure,3,500
Footswitch,300,Mono1,Pure,3,500
Footswitch,300,Mono1,Pure,3,500
Footswitch,300,Mono1,Pure,3,500
Footswitch,300,Mono1,Pure,3,500
Footswitch,300,Mono1,Pure,3,500
Footswitch,300,Mono1,Pure,3,500
Footswitch,300,Mono1,Pure,3,500
Footswitch,300,Mono1,Pure,3,500
Footswitch,300,Mono2,Pure,3,500
Footswitch,300,Mono2,Pure,3,500
Footswitch,300,Mono2,Pure,3,500
Footswitch,300,Mono2,Pure,3,500
Footswitch,300,Mono2,Pure,3,500
Footswitch,300,Mono2,Pure,3,500
Footswitch,300,Mono2,Pure,3,500
Footswitch,300,Mono2,Pure,3,500
Footswitch,300,Mono2,Pure,3,500
Footswitch,300,Mono2,Pure,3,500
Footswitch,500,Mono1,Spray,3,500
Footswitch,500,Mono1,Spray,3,500
Footswitch,500,Mono1,Spray,3,500
Footswitch,500,Mono1,Spray,3,500
Footswitch,500,Mono1,Spray,3,500
Footswitch,500,Mono1,Spray,3,500
Footswitch,500,Mono1,Spray,3,500
Footswitch,500,Mono1,Spray,3,500
Footswitch,500,Mono1,Spray,3,500
Footswitch,500,Mono1,Spray,3,500
Footswitch,500,Mono2,Spray,3,500
Footswitch,500,Mono2,Spray,3,500
Footswitch,500,Mono2,Spray,3,500
Footswitch,500,Mono2,Spray,3,500
Footswitch,500,Mono2,Spray,3,500
Footswitch,500,Mono2,Spray,3,500
Footswitch,500,Mono2,Spray,3,500
Footswitch,500,Mono2,Spray,3,500
Footswitch,500,Mono2,Spray,3,500
Footswitch,500,Mono2,Spray,3,500
Footswitch,100,Bipolar,Macro,2,500
Footswitch,100,Bipolar,Macro,2,500
Footswitch,100,Bipolar,Macro,2,500
Footswitch,100,Bipolar,Macro,2,500
Footswitch,100,Bipolar,Macro,2,500
Footswitch,100,Bipolar,Macro,2,500
Footswitch,100,Bipolar,Macro,2,500
Footswitch,100,Bipolar,Macro,2,500
Footswitch,100,Bipolar,Macro,2,500
Footswitch,100,Bipolar,Macro,2,500
