Activation Method,Unitherm Load,Port,Mode,Power Level,Activation Duration
Footswitch,300,Mono1,Pure,30,500
Footswitch,300,Mono1,Pure,30,500
Footswitch,300,Mono1,Pure,30,500
Footswitch,300,Mono1,Pure,30,500
Footswitch,300,Mono1,Pure,30,500
Footswitch,300,Mono1,Pure,30,500
Footswitch,300,Mono1,Pure,30,500
Footswitch,300,Mono1,Pure,30,500
Footswitch,300,Mono1,Pure,30,500
Footswitch,300,Mono1,Pure,30,500
Footswitch,300,Mono2,Pure,30,500
Footswitch,300,Mono2,Pure,30,500
Footswitch,300,Mono2,Pure,30,500
Footswitch,300,Mono2,Pure,30,500
Footswitch,300,Mono2,Pure,30,500
Footswitch,300,Mono2,Pure,30,500
Footswitch,300,Mono2,Pure,30,500
Footswitch,300,Mono2,Pure,30,500
Footswitch,300,Mono2,Pure,30,500
Footswitch,300,Mono2,Pure,30,500
Footswitch,500,Mono1,Spray,30,500
Footswitch,500,Mono1,Spray,30,500
Footswitch,500,Mono1,Spray,30,500
Footswitch,500,Mono1,Spray,30,500
Footswitch,500,Mono1,Spray,30,500
Footswitch,500,Mono1,Spray,30,500
Footswitch,500,Mono1,Spray,30,500
Footswitch,500,Mono1,Spray,30,500
Footswitch,500,Mono1,Spray,30,500
Footswitch,500,Mono1,Spray,30,500
Footswitch,500,Mono2,Spray,30,500
Footswitch,500,Mono2,Spray,30,500
Footswitch,500,Mono2,Spray,30,500
Footswitch,500,Mono2,Spray,30,500
Footswitch,500,Mono2,Spray,30,500
Footswitch,500,Mono2,Spray,30,500
Footswitch,500,Mono2,Spray,30,500
Footswitch,500,Mono2,Spray,30,500
Footswitch,500,Mono2,Spray,30,500
Footswitch,500,Mono2,Spray,30,500
Footswitch,100,Bipolar,Macro,30,500
Footswitch,100,Bipolar,Macro,30,500
Footswitch,100,Bipolar,Macro,30,500
Footswitch,100,Bipolar,Macro,30,500
Footswitch,100,Bipolar,Macro,30,500
Footswitch,100,Bipolar,Macro,30,500
Footswitch,100,Bipolar,Macro,30,500
Footswitch,100,Bipolar,Macro,30,500
Footswitch,100,Bipolar,Macro,30,500
Footswitch,100,Bipolar,Macro,30,500
