Activation Method,Unitherm Load,Port,Mode,Power Level,Activation Duration
Handswitch,300,Mono1,Pure,30,500
Handswitch,300,Mono1,Pure,30,500
Handswitch,300,Mono1,Pure,30,500
Handswitch,300,Mono1,Pure,30,500
Handswitch,300,Mono1,Pure,30,500
Handswitch,300,Mono1,Pure,30,500
Handswitch,300,Mono1,Pure,30,500
Handswitch,300,Mono1,Pure,30,500
Handswitch,300,Mono1,Pure,30,500
Handswitch,300,Mono1,Pure,30,500
Handswitch,500,Mono1,Spray,30,500
Handswitch,500,Mono1,Spray,30,500
Handswitch,500,Mono1,Spray,30,500
Handswitch,500,Mono1,Spray,30,500
Handswitch,500,Mono1,Spray,30,500
Handswitch,500,Mono1,Spray,30,500
Handswitch,500,Mono1,Spray,30,500
Handswitch,500,Mono1,Spray,30,500
Handswitch,500,Mono1,Spray,30,500
Handswitch,500,Mono1,Spray,30,500
