Activation Method,Unitherm Load,Port,Mode,Power Level,Activation Duration
Handswitch,300,Mono1,Pure,300,500
Handswitch,300,Mono1,Pure,300,500
Handswitch,300,Mono1,Pure,300,500
Handswitch,300,Mono1,Pure,300,500
Handswitch,300,Mono1,Pure,300,500
Handswitch,300,Mono1,Pure,300,500
Handswitch,300,Mono1,Pure,300,500
Handswitch,300,Mono1,Pure,300,500
Handswitch,300,Mono1,Pure,300,500
Handswitch,300,Mono1,Pure,300,500
Handswitch,300,Mono2,Pure,300,500
Handswitch,300,Mono2,Pure,300,500
Handswitch,300,Mono2,Pure,300,500
Handswitch,300,Mono2,Pure,300,500
Handswitch,300,Mono2,Pure,300,500
Handswitch,300,Mono2,Pure,300,500
Handswitch,300,Mono2,Pure,300,500
Handswitch,300,Mono2,Pure,300,500
Handswitch,300,Mono2,Pure,300,500
Handswitch,300,Mono2,Pure,300,500
Handswitch,500,Mono1,Spray,120,500
Handswitch,500,Mono1,Spray,120,500
Handswitch,500,Mono1,Spray,120,500
Handswitch,500,Mono1,Spray,120,500
Handswitch,500,Mono1,Spray,120,500
Handswitch,500,Mono1,Spray,120,500
Handswitch,500,Mono1,Spray,120,500
Handswitch,500,Mono1,Spray,120,500
Handswitch,500,Mono1,Spray,120,500
Handswitch,500,Mono1,Spray,120,500
Handswitch,300,Mono2,Spray,120,500
Handswitch,300,Mono2,Spray,120,500
Handswitch,300,Mono2,Spray,120,500
Handswitch,300,Mono2,Spray,120,500
Handswitch,300,Mono2,Spray,120,500
Handswitch,300,Mono2,Spray,120,500
Handswitch,300,Mono2,Spray,120,500
Handswitch,300,Mono2,Spray,120,500
Handswitch,300,Mono2,Spray,120,500
Handswitch,300,Mono2,Spray,120,500
Footswitch,300,Mono1,Pure,300,500
Footswitch,300,Mono1,Pure,300,500
Footswitch,300,Mono1,Pure,300,500
Footswitch,300,Mono1,Pure,300,500
Footswitch,300,Mono1,Pure,300,500
Footswitch,300,Mono1,Pure,300,500
Footswitch,300,Mono1,Pure,300,500
Footswitch,300,Mono1,Pure,300,500
Footswitch,300,Mono1,Pure,300,500
Footswitch,300,Mono1,Pure,300,500
Footswitch,300,Mono2,Pure,300,500
Footswitch,300,Mono2,Pure,300,500
Footswitch,300,Mono2,Pure,300,500
Footswitch,300,Mono2,Pure,300,500
Footswitch,300,Mono2,Pure,300,500
Footswitch,300,Mono2,Pure,300,500
Footswitch,300,Mono2,Pure,300,500
Footswitch,300,Mono2,Pure,300,500
Footswitch,300,Mono2,Pure,300,500
Footswitch,300,Mono2,Pure,300,500
Footswitch,500,Mono1,Spray,120,500
Footswitch,500,Mono1,Spray,120,500
Footswitch,500,Mono1,Spray,120,500
Footswitch,500,Mono1,Spray,120,500
Footswitch,500,Mono1,Spray,120,500
Footswitch,500,Mono1,Spray,120,500
Footswitch,500,Mono1,Spray,120,500
Footswitch,500,Mono1,Spray,120,500
Footswitch,500,Mono1,Spray,120,500
Footswitch,500,Mono1,Spray,120,500
Footswitch,300,Mono2,Spray,120,500
Footswitch,300,Mono2,Spray,120,500
Footswitch,300,Mono2,Spray,120,500
Footswitch,300,Mono2,Spray,120,500
Footswitch,300,Mono2,Spray,120,500
Footswitch,300,Mono2,Spray,120,500
Footswitch,300,Mono2,Spray,120,500
Footswitch,300,Mono2,Spray,120,500
Footswitch,300,Mono2,Spray,120,500
Footswitch,300,Mono2,Spray,120,500
Footswitch,100,Bipolar,Macro,70,500
Footswitch,100,Bipolar,Macro,70,500
Footswitch,100,Bipolar,Macro,70,500
Footswitch,100,Bipolar,Macro,70,500
Footswitch,100,Bipolar,Macro,70,500
Footswitch,100,Bipolar,Macro,70,500
Footswitch,100,Bipolar,Macro,70,500
Footswitch,100,Bipolar,Macro,70,500
Footswitch,100,Bipolar,Macro,70,500
Footswitch,100,Bipolar,Macro,70,500
